zpid,address,cityname,state,zipcode,latitude,longitude,title,listingStatus,minPrice,maxPrice,bedrooms
444449118,8320 Church St,Frisco,TX,75034,33.14743,-96.83474,Mirra,forRent,1390,3295,0
444449118,8320 Church St,Frisco,TX,75034,33.14743,-96.83474,Mirra,forRent,1475,3295,1
444449118,8320 Church St,Frisco,TX,75034,33.14743,-96.83474,Mirra,forRent,2529,3295,2
2078377870,1500 Ridge Brook Trl,Duluth,GA,30096,33.950775,-84.1559,Bridgewater,forRent,1284,2250,1
2078377870,1500 Ridge Brook Trl,Duluth,GA,30096,33.950775,-84.1559,Bridgewater,forRent,1534,2250,2
2078377870,1500 Ridge Brook Trl,Duluth,GA,30096,33.950775,-84.1559,Bridgewater,forRent,1700,2250,3
457684015,3613 Dexter Ave,Fort Worth,TX,76107,32.740448,-97.37129,Premier Gardens Apartments,forRent,1300,1350,2
443675780,717 Spence Ln #0B-1BA-275SQFT,Nashville,TN,37217,36.13632,-86.72341,"Hillside Crossing Apartments, Single hotel style",,,,
2067553599,311 Carter St,Nashville,TN,37210,36.1138,-86.744385,Residences at Woodbine Park,forRent,1329,1734,1
2067553599,311 Carter St,Nashville,TN,37210,36.1138,-86.744385,Residences at Woodbine Park,forRent,1734,1734,2
457972193,501 Londonderry Ln,Denton,TX,76205,33.190605,-97.12977,Manchester House,forRent,1126,1580,1
457972193,501 Londonderry Ln,Denton,TX,76205,33.190605,-97.12977,Manchester House,forRent,1336,1580,2
2072430581,3890 Greenway Dr,Sarasota,FL,34232,27.33675,-82.49189,Greenway,forRent,1394,1873,1
2072430581,3890 Greenway Dr,Sarasota,FL,34232,27.33675,-82.49189,Greenway,forRent,1362,1873,2
2072430581,3890 Greenway Dr,Sarasota,FL,34232,27.33675,-82.49189,Greenway,forRent,1799,1873,3
458392267,4741 Hoffner Ave,Orlando,FL,32812,28.481493,-81.32468,Aventon Lake Conway,forRent,1845,3125,1
458392267,4741 Hoffner Ave,Orlando,FL,32812,28.481493,-81.32468,Aventon Lake Conway,forRent,2340,3125,2
458392267,4741 Hoffner Ave,Orlando,FL,32812,28.481493,-81.32468,Aventon Lake Conway,forRent,2890,3125,3
2055070592,5145 S Dale Mabry Hwy,Tampa,FL,33611,27.889492,-82.5111,Cortona South Tampa,forRent,1888,3133,0
2055070592,5145 S Dale Mabry Hwy,Tampa,FL,33611,27.889492,-82.5111,Cortona South Tampa,forRent,1699,3133,1
2055070592,5145 S Dale Mabry Hwy,Tampa,FL,33611,27.889492,-82.5111,Cortona South Tampa,forRent,2513,3133,2
458448439,12099 Luna Rd,Dallas,TX,75234,32.91124,-96.92461,The Elara,forRent,1343,2745,0
458448439,12099 Luna Rd,Dallas,TX,75234,32.91124,-96.92461,The Elara,forRent,1570,2745,1
458448439,12099 Luna Rd,Dallas,TX,75234,32.91124,-96.92461,The Elara,forRent,2130,2745,2
2058126772,936 Mayson Turner Rd NW,Atlanta,GA,30314,33.75829,-84.41823,Gardens at Washington Park 1,forRent,985,1208,1
2058126772,936 Mayson Turner Rd NW,Atlanta,GA,30314,33.75829,-84.41823,Gardens at Washington Park 1,forRent,1027,1208,2
452034874,465 W Blount Ave,Knoxville,TN,37920,35.95057,-83.92131,Livano Knoxville,forRent,1699,4115,0
452034874,465 W Blount Ave,Knoxville,TN,37920,35.95057,-83.92131,Livano Knoxville,forRent,1799,4115,1
452034874,465 W Blount Ave,Knoxville,TN,37920,35.95057,-83.92131,Livano Knoxville,forRent,2399,4115,2
452034874,465 W Blount Ave,Knoxville,TN,37920,35.95057,-83.92131,Livano Knoxville,forRent,3499,4115,3
458691383,15250 Quorum Dr,Addison,TX,75001,32.95745,-96.825935,AMLI Addison,forRent,1903,3063,0
458691383,15250 Quorum Dr,Addison,TX,75001,32.95745,-96.825935,AMLI Addison,forRent,1982,3063,1
458691383,15250 Quorum Dr,Addison,TX,75001,32.95745,-96.825935,AMLI Addison,forRent,2764,3063,2
447669178,3305 South Blvd,Charlotte,NC,28209,35.19464,-80.87161,Alexan LoSo,forRent,1408,4010,0
447669178,3305 South Blvd,Charlotte,NC,28209,35.19464,-80.87161,Alexan LoSo,forRent,1604,4010,1
447669178,3305 South Blvd,Charlotte,NC,28209,35.19464,-80.87161,Alexan LoSo,forRent,2160,4010,2
450791021,4101 Raleigh St,Charlotte,NC,28206,35.25288,-80.79289,Sorella Apartments,forRent,1229,2261,0
